,Action,value,Genotype,Age,Cage,Period,Sex,timepoint
"(4240953, 'Climbing', 'Light', '12 months')",Climbing,2.264,C57BL6/J,12 months,4240953,Light,Female,day_two
"(4240953, 'Climbing', 'Light', '3 months')",Climbing,4.533,C57BL6/J,3 months,4240953,Light,Female,day_two
"(4240953, 'Climbing', 'Light', '7 months')",Climbing,9.97,C57BL6/J,7 months,4240953,Light,Female,day_two
"(4240953, 'distance (mm)', 'Dark', '12 months')",Distance,3141.7304,C57BL6/J,12 months,4240953,Dark,Female,day_two
"(4240953, 'distance (mm)', 'Dark', '3 months')",Distance,4523.961835,C57BL6/J,3 months,4240953,Dark,Female,day_two
"(4240953, 'distance (mm)', 'Dark', '7 months')",Distance,3390.526651,C57BL6/J,7 months,4240953,Dark,Female,day_two
"(4240953, 'distance (mm)', 'Light', '12 months')",Distance,1450.562115,C57BL6/J,12 months,4240953,Light,Female,day_two
"(4240953, 'distance (mm)', 'Light', '3 months')",Distance,1380.88007,C57BL6/J,3 months,4240953,Light,Female,day_two
"(4240953, 'distance (mm)', 'Light', '7 months')",Distance,1514.45938,C57BL6/J,7 months,4240953,Light,Female,day_two
"(4240962, 'Climbing', 'Dark', '12 months')",Climbing,81.147,C57BL6/J,12 months,4240962,Dark,Female,day_two
"(4240962, 'Climbing', 'Dark', '3 months')",Climbing,110.328,C57BL6/J,3 months,4240962,Dark,Female,day_two
"(4240962, 'Climbing', 'Dark', '7 months')",Climbing,58.68533333,C57BL6/J,7 months,4240962,Dark,Female,day_two
"(4240962, 'Climbing', 'Light', '12 months')",Climbing,1.757,C57BL6/J,12 months,4240962,Light,Female,day_two
"(4240962, 'Climbing', 'Light', '3 months')",Climbing,9.758,C57BL6/J,3 months,4240962,Light,Female,day_two
"(4240962, 'Climbing', 'Light', '7 months')",Climbing,10.36666667,C57BL6/J,7 months,4240962,Light,Female,day_two
"(4240962, 'distance (mm)', 'Dark', '12 months')",Distance,5495.406112,C57BL6/J,12 months,4240962,Dark,Female,day_two
"(4240962, 'distance (mm)', 'Dark', '3 months')",Distance,6169.754011,C57BL6/J,3 months,4240962,Dark,Female,day_two
"(4240962, 'distance (mm)', 'Dark', '7 months')",Distance,5784.285958,C57BL6/J,7 months,4240962,Dark,Female,day_two
"(4240962, 'distance (mm)', 'Light', '12 months')",Distance,1138.85685,C57BL6/J,12 months,4240962,Light,Female,day_two
"(4240962, 'distance (mm)', 'Light', '3 months')",Distance,1739.241215,C57BL6/J,3 months,4240962,Light,Female,day_two
"(4240962, 'distance (mm)', 'Light', '7 months')",Distance,1428.879126,C57BL6/J,7 months,4240962,Light,Female,day_two
"(4242121, 'Climbing', 'Dark', '12 months')",Climbing,24.852,C57BL6/J,12 months,4242121,Dark,Female,day_two
"(4242121, 'Climbing', 'Dark', '3 months')",Climbing,73.29033333,C57BL6/J,3 months,4242121,Dark,Female,day_two
"(4242121, 'Climbing', 'Dark', '7 months')",Climbing,53.446,C57BL6/J,7 months,4242121,Dark,Female,day_two
"(4242121, 'Climbing', 'Light', '12 months')",Climbing,2.136,C57BL6/J,12 months,4242121,Light,Female,day_two
"(4242121, 'Climbing', 'Light', '3 months')",Climbing,5.643666667,C57BL6/J,3 months,4242121,Light,Female,day_two
"(4242121, 'Climbing', 'Light', '7 months')",Climbing,4.878,C57BL6/J,7 months,4242121,Light,Female,day_two
"(4242121, 'distance (mm)', 'Dark', '12 months')",Distance,3874.718989,C57BL6/J,12 months,4242121,Dark,Female,day_two
"(4242121, 'distance (mm)', 'Dark', '3 months')",Distance,7866.235002,C57BL6/J,3 months,4242121,Dark,Female,day_two
"(4242121, 'distance (mm)', 'Dark', '7 months')",Distance,6444.936233,C57BL6/J,7 months,4242121,Dark,Female,day_two
"(4242121, 'distance (mm)', 'Light', '12 months')",Distance,1100.208136,C57BL6/J,12 months,4242121,Light,Female,day_two
"(4242121, 'distance (mm)', 'Light', '3 months')",Distance,1453.960984,C57BL6/J,3 months,4242121,Light,Female,day_two
"(4242121, 'distance (mm)', 'Light', '7 months')",Distance,1678.145036,C57BL6/J,7 months,4242121,Light,Female,day_two
"(4245170, 'Climbing', 'Dark', '12 months')",Climbing,27.278,C57BL6/J,12 months,4245170,Dark,Female,day_two
"(4245170, 'Climbing', 'Dark', '3 months')",Climbing,27.102,C57BL6/J,3 months,4245170,Dark,Female,day_two
"(4245170, 'Climbing', 'Dark', '7 months')",Climbing,50.99,C57BL6/J,7 months,4245170,Dark,Female,day_two
"(4245170, 'Climbing', 'Light', '12 months')",Climbing,19.226,C57BL6/J,12 months,4245170,Light,Female,day_two
"(4245170, 'Climbing', 'Light', '3 months')",Climbing,4.158,C57BL6/J,3 months,4245170,Light,Female,day_two
"(4245170, 'Climbing', 'Light', '7 months')",Climbing,4.75,C57BL6/J,7 months,4245170,Light,Female,day_two
"(4245170, 'distance (mm)', 'Dark', '12 months')",Distance,1744.997502,C57BL6/J,12 months,4245170,Dark,Female,day_two
"(4245170, 'distance (mm)', 'Dark', '3 months')",Distance,5233.437335,C57BL6/J,3 months,4245170,Dark,Female,day_two
"(4245170, 'distance (mm)', 'Dark', '7 months')",Distance,6789.73359,C57BL6/J,7 months,4245170,Dark,Female,day_two
"(4245170, 'distance (mm)', 'Light', '12 months')",Distance,1170.109573,C57BL6/J,12 months,4245170,Light,Female,day_two
"(4245170, 'distance (mm)', 'Light', '3 months')",Distance,1302.33569,C57BL6/J,3 months,4245170,Light,Female,day_two
"(4245170, 'distance (mm)', 'Light', '7 months')",Distance,1245.41523,C57BL6/J,7 months,4245170,Light,Female,day_two
"(4246248, 'Climbing', 'Dark', '12 months')",Climbing,82.62666667,C57BL6/J,12 months,4246248,Dark,Female,day_two
"(4246248, 'Climbing', 'Dark', '3 months')",Climbing,113.172,C57BL6/J,3 months,4246248,Dark,Female,day_two
"(4246248, 'Climbing', 'Dark', '7 months')",Climbing,109.226,C57BL6/J,7 months,4246248,Dark,Female,day_two
"(4246248, 'Climbing', 'Light', '12 months')",Climbing,6.227333333,C57BL6/J,12 months,4246248,Light,Female,day_two
"(4246248, 'Climbing', 'Light', '3 months')",Climbing,15.144,C57BL6/J,3 months,4246248,Light,Female,day_two
"(4246248, 'Climbing', 'Light', '7 months')",Climbing,9.21,C57BL6/J,7 months,4246248,Light,Female,day_two
"(4246248, 'distance (mm)', 'Dark', '12 months')",Distance,3893.453025,C57BL6/J,12 months,4246248,Dark,Female,day_two
"(4246248, 'distance (mm)', 'Dark', '3 months')",Distance,8374.045901,C57BL6/J,3 months,4246248,Dark,Female,day_two
"(4246248, 'distance (mm)', 'Dark', '7 months')",Distance,9459.768079,C57BL6/J,7 months,4246248,Dark,Female,day_two
"(4246248, 'distance (mm)', 'Light', '12 months')",Distance,1768.981069,C57BL6/J,12 months,4246248,Light,Female,day_two
"(4246248, 'distance (mm)', 'Light', '3 months')",Distance,2093.348362,C57BL6/J,3 months,4246248,Light,Female,day_two
"(4246248, 'distance (mm)', 'Light', '7 months')",Distance,1750.508588,C57BL6/J,7 months,4246248,Light,Female,day_two
"(4246781, 'Climbing', 'Dark', '12 months')",Climbing,25.24633333,C57BL6/J,12 months,4246781,Dark,Female,day_two
"(4246781, 'Climbing', 'Dark', '7 months')",Climbing,67.618,C57BL6/J,7 months,4246781,Dark,Female,day_two
"(4246781, 'Climbing', 'Light', '12 months')",Climbing,3.929666667,C57BL6/J,12 months,4246781,Light,Female,day_two
"(4246781, 'Climbing', 'Light', '7 months')",Climbing,4.08,C57BL6/J,7 months,4246781,Light,Female,day_two
"(4246781, 'distance (mm)', 'Dark', '12 months')",Distance,4776.570574,C57BL6/J,12 months,4246781,Dark,Female,day_two
"(4246781, 'distance (mm)', 'Dark', '7 months')",Distance,7479.57759,C57BL6/J,7 months,4246781,Dark,Female,day_two
"(4246781, 'distance (mm)', 'Light', '12 months')",Distance,1132.920138,C57BL6/J,12 months,4246781,Light,Female,day_two
"(4246781, 'distance (mm)', 'Light', '7 months')",Distance,1338.002194,C57BL6/J,7 months,4246781,Light,Female,day_two
"(4246787, 'Climbing', 'Dark', '3 months')",Climbing,81.47666667,C57BL6/J,3 months,4246787,Dark,Female,day_two
"(4246787, 'Climbing', 'Light', '3 months')",Climbing,5.941333333,C57BL6/J,3 months,4246787,Light,Female,day_two
"(4246787, 'distance (mm)', 'Dark', '3 months')",Distance,6768.194177,C57BL6/J,3 months,4246787,Dark,Female,day_two
"(4246787, 'distance (mm)', 'Light', '3 months')",Distance,1601.65595,C57BL6/J,3 months,4246787,Light,Female,day_two
"(4186074, 'Climbing', 'Dark', '12 months')",Climbing,18.1,C57BL6/J,12 months,4186074,Dark,Male,day_three
"(4186074, 'Climbing', 'Dark', '3 months')",Climbing,7.27,C57BL6/J,3 months,4186074,Dark,Male,day_three
"(4186074, 'Climbing', 'Dark', '7 months')",Climbing,6.63,C57BL6/J,7 months,4186074,Dark,Male,day_three
"(4186074, 'Climbing', 'Light', '12 months')",Climbing,14.676,C57BL6/J,12 months,4186074,Light,Male,day_three
"(4186074, 'Climbing', 'Light', '3 months')",Climbing,5.244,C57BL6/J,3 months,4186074,Light,Male,day_three
"(4186074, 'Climbing', 'Light', '7 months')",Climbing,1.512,C57BL6/J,7 months,4186074,Light,Male,day_three
"(4186074, 'distance (mm)', 'Dark', '12 months')",Distance,2822.541838,C57BL6/J,12 months,4186074,Dark,Male,day_three
"(4186074, 'distance (mm)', 'Dark', '3 months')",Distance,3851.387248,C57BL6/J,3 months,4186074,Dark,Male,day_three
"(4186074, 'distance (mm)', 'Dark', '7 months')",Distance,3748.582114,C57BL6/J,7 months,4186074,Dark,Male,day_three
"(4186074, 'distance (mm)', 'Light', '12 months')",Distance,1855.067639,C57BL6/J,12 months,4186074,Light,Male,day_three
"(4186074, 'distance (mm)', 'Light', '3 months')",Distance,2970.103029,C57BL6/J,3 months,4186074,Light,Male,day_three
"(4186074, 'distance (mm)', 'Light', '7 months')",Distance,2136.814507,C57BL6/J,7 months,4186074,Light,Male,day_three
"(4186084, 'Climbing', 'Dark', '12 months')",Climbing,10.264,C57BL6/J,12 months,4186084,Dark,Male,day_three
"(4186084, 'Climbing', 'Dark', '3 months')",Climbing,5.648,C57BL6/J,3 months,4186084,Dark,Male,day_three
"(4186084, 'Climbing', 'Dark', '7 months')",Climbing,18.242,C57BL6/J,7 months,4186084,Dark,Male,day_three
"(4186084, 'Climbing', 'Light', '12 months')",Climbing,2.22,C57BL6/J,12 months,4186084,Light,Male,day_three
"(4186084, 'Climbing', 'Light', '3 months')",Climbing,7.44,C57BL6/J,3 months,4186084,Light,Male,day_three
"(4186084, 'Climbing', 'Light', '7 months')",Climbing,9.072,C57BL6/J,7 months,4186084,Light,Male,day_three
"(4186084, 'distance (mm)', 'Dark', '12 months')",Distance,2820.135261,C57BL6/J,12 months,4186084,Dark,Male,day_three
"(4186084, 'distance (mm)', 'Dark', '3 months')",Distance,3399.118064,C57BL6/J,3 months,4186084,Dark,Male,day_three
"(4186084, 'distance (mm)', 'Dark', '7 months')",Distance,3028.22131,C57BL6/J,7 months,4186084,Dark,Male,day_three
"(4186084, 'distance (mm)', 'Light', '12 months')",Distance,1674.938069,C57BL6/J,12 months,4186084,Light,Male,day_three
"(4186084, 'distance (mm)', 'Light', '3 months')",Distance,4408.649612,C57BL6/J,3 months,4186084,Light,Male,day_three
"(4186084, 'distance (mm)', 'Light', '7 months')",Distance,3928.164046,C57BL6/J,7 months,4186084,Light,Male,day_three
"(4187459, 'Climbing', 'Dark', '12 months')",Climbing,4.886,C57BL6/J,12 months,4187459,Dark,Male,day_three
"(4187459, 'Climbing', 'Dark', '3 months')",Climbing,15.226,C57BL6/J,3 months,4187459,Dark,Male,day_three
"(4187459, 'Climbing', 'Dark', '7 months')",Climbing,12.15766667,C57BL6/J,7 months,4187459,Dark,Male,day_three
"(4187459, 'Climbing', 'Light', '12 months')",Climbing,2.856,C57BL6/J,12 months,4187459,Light,Male,day_three
"(4187459, 'Climbing', 'Light', '3 months')",Climbing,2.616,C57BL6/J,3 months,4187459,Light,Male,day_three
"(4187459, 'Climbing', 'Light', '7 months')",Climbing,4.61,C57BL6/J,7 months,4187459,Light,Male,day_three
"(4187459, 'distance (mm)', 'Dark', '12 months')",Distance,2583.923531,C57BL6/J,12 months,4187459,Dark,Male,day_three
"(4187459, 'distance (mm)', 'Dark', '3 months')",Distance,2820.311306,C57BL6/J,3 months,4187459,Dark,Male,day_three
"(4187459, 'distance (mm)', 'Dark', '7 months')",Distance,2845.968091,C57BL6/J,7 months,4187459,Dark,Male,day_three
"(4187459, 'distance (mm)', 'Light', '12 months')",Distance,1586.219438,C57BL6/J,12 months,4187459,Light,Male,day_three
"(4187459, 'distance (mm)', 'Light', '3 months')",Distance,1073.149877,C57BL6/J,3 months,4187459,Light,Male,day_three
"(4187459, 'distance (mm)', 'Light', '7 months')",Distance,1527.333422,C57BL6/J,7 months,4187459,Light,Male,day_three
"(4187463, 'Climbing', 'Dark', '12 months')",Climbing,7.814,C57BL6/J,12 months,4187463,Dark,Male,day_three
"(4187463, 'Climbing', 'Dark', '3 months')",Climbing,25.576,C57BL6/J,3 months,4187463,Dark,Male,day_three
"(4187463, 'Climbing', 'Dark', '7 months')",Climbing,37.868,C57BL6/J,7 months,4187463,Dark,Male,day_three
"(4187463, 'Climbing', 'Light', '12 months')",Climbing,8.52,C57BL6/J,12 months,4187463,Light,Male,day_three
"(4187463, 'Climbing', 'Light', '3 months')",Climbing,9.48,C57BL6/J,3 months,4187463,Light,Male,day_three
"(4187463, 'Climbing', 'Light', '7 months')",Climbing,20.328,C57BL6/J,7 months,4187463,Light,Male,day_three
"(4187463, 'distance (mm)', 'Dark', '12 months')",Distance,2809.867749,C57BL6/J,12 months,4187463,Dark,Male,day_three
"(4187463, 'distance (mm)', 'Dark', '3 months')",Distance,5011.076852,C57BL6/J,3 months,4187463,Dark,Male,day_three
"(4187463, 'distance (mm)', 'Dark', '7 months')",Distance,3788.288832,C57BL6/J,7 months,4187463,Dark,Male,day_three
"(4187463, 'distance (mm)', 'Light', '12 months')",Distance,3872.150636,C57BL6/J,12 months,4187463,Light,Male,day_three
"(4187463, 'distance (mm)', 'Light', '3 months')",Distance,3531.035126,C57BL6/J,3 months,4187463,Light,Male,day_three
"(4187463, 'distance (mm)', 'Light', '7 months')",Distance,3152.358826,C57BL6/J,7 months,4187463,Light,Male,day_three
"(4188123, 'Climbing', 'Dark', '12 months')",Climbing,7.48,C57BL6/J,12 months,4188123,Dark,Male,day_three
"(4188123, 'Climbing', 'Dark', '3 months')",Climbing,11.772,C57BL6/J,3 months,4188123,Dark,Male,day_three
"(4188123, 'Climbing', 'Dark', '7 months')",Climbing,13.708,C57BL6/J,7 months,4188123,Dark,Male,day_three
"(4188123, 'Climbing', 'Light', '12 months')",Climbing,33.74,C57BL6/J,12 months,4188123,Light,Male,day_three
"(4188123, 'Climbing', 'Light', '3 months')",Climbing,0,C57BL6/J,3 months,4188123,Light,Male,day_three
"(4188123, 'Climbing', 'Light', '7 months')",Climbing,7.608,C57BL6/J,7 months,4188123,Light,Male,day_three
"(4188123, 'distance (mm)', 'Dark', '12 months')",Distance,1564.787777,C57BL6/J,12 months,4188123,Dark,Male,day_three
"(4188123, 'distance (mm)', 'Dark', '3 months')",Distance,3639.317794,C57BL6/J,3 months,4188123,Dark,Male,day_three
"(4188123, 'distance (mm)', 'Dark', '7 months')",Distance,3050.929851,C57BL6/J,7 months,4188123,Dark,Male,day_three
"(4188123, 'distance (mm)', 'Light', '12 months')",Distance,2754.472142,C57BL6/J,12 months,4188123,Light,Male,day_three
"(4188123, 'distance (mm)', 'Light', '3 months')",Distance,1469.219257,C57BL6/J,3 months,4188123,Light,Male,day_three
"(4188123, 'distance (mm)', 'Light', '7 months')",Distance,2262.728514,C57BL6/J,7 months,4188123,Light,Male,day_three
"(4193912, 'Climbing', 'Dark', '12 months')",Climbing,8.91,C57BL6/J,12 months,4193912,Dark,Male,day_three
"(4193912, 'Climbing', 'Dark', '3 months')",Climbing,54.02966667,C57BL6/J,3 months,4193912,Dark,Male,day_three
"(4193912, 'Climbing', 'Dark', '7 months')",Climbing,7.67,C57BL6/J,7 months,4193912,Dark,Male,day_three
"(4193912, 'Climbing', 'Light', '12 months')",Climbing,23.36,C57BL6/J,12 months,4193912,Light,Male,day_three
"(4193912, 'Climbing', 'Light', '3 months')",Climbing,32.234,C57BL6/J,3 months,4193912,Light,Male,day_three
"(4193912, 'Climbing', 'Light', '7 months')",Climbing,1.632,C57BL6/J,7 months,4193912,Light,Male,day_three
"(4193912, 'distance (mm)', 'Dark', '12 months')",Distance,1768.55401,C57BL6/J,12 months,4193912,Dark,Male,day_three
"(4193912, 'distance (mm)', 'Dark', '3 months')",Distance,4055.25999,C57BL6/J,3 months,4193912,Dark,Male,day_three
"(4193912, 'distance (mm)', 'Dark', '7 months')",Distance,3701.397675,C57BL6/J,7 months,4193912,Dark,Male,day_three
"(4193912, 'distance (mm)', 'Light', '12 months')",Distance,3077.590082,C57BL6/J,12 months,4193912,Light,Male,day_three
"(4193912, 'distance (mm)', 'Light', '3 months')",Distance,1851.589891,C57BL6/J,3 months,4193912,Light,Male,day_three
"(4193912, 'distance (mm)', 'Light', '7 months')",Distance,1741.897978,C57BL6/J,7 months,4193912,Light,Male,day_three
"(4240953, 'Climbing', 'Dark', '12 months')",Climbing,17.682,C57BL6/J,12 months,4240953,Dark,Female,day_three
"(4240953, 'Climbing', 'Dark', '3 months')",Climbing,39.66,C57BL6/J,3 months,4240953,Dark,Female,day_three
"(4240953, 'Climbing', 'Dark', '7 months')",Climbing,53.65566667,C57BL6/J,7 months,4240953,Dark,Female,day_three
"(4240953, 'Climbing', 'Light', '12 months')",Climbing,3.756,C57BL6/J,12 months,4240953,Light,Female,day_three
"(4240953, 'Climbing', 'Light', '3 months')",Climbing,21.072,C57BL6/J,3 months,4240953,Light,Female,day_three
"(4240953, 'Climbing', 'Light', '7 months')",Climbing,15.194,C57BL6/J,7 months,4240953,Light,Female,day_three
"(4240953, 'distance (mm)', 'Dark', '12 months')",Distance,3570.700406,C57BL6/J,12 months,4240953,Dark,Female,day_three
"(4240953, 'distance (mm)', 'Dark', '3 months')",Distance,5979.634985,C57BL6/J,3 months,4240953,Dark,Female,day_three
"(4240953, 'distance (mm)', 'Dark', '7 months')",Distance,3735.001941,C57BL6/J,7 months,4240953,Dark,Female,day_three
"(4240953, 'distance (mm)', 'Light', '12 months')",Distance,3261.195594,C57BL6/J,12 months,4240953,Light,Female,day_three
"(4240953, 'distance (mm)', 'Light', '3 months')",Distance,3150.586969,C57BL6/J,3 months,4240953,Light,Female,day_three
"(4240953, 'distance (mm)', 'Light', '7 months')",Distance,4344.79789,C57BL6/J,7 months,4240953,Light,Female,day_three
"(4240962, 'Climbing', 'Dark', '12 months')",Climbing,42.72,C57BL6/J,12 months,4240962,Dark,Female,day_three
"(4240962, 'Climbing', 'Dark', '3 months')",Climbing,160.08,C57BL6/J,3 months,4240962,Dark,Female,day_three
"(4240962, 'Climbing', 'Dark', '7 months')",Climbing,70.61333333,C57BL6/J,7 months,4240962,Dark,Female,day_three
"(4240962, 'Climbing', 'Light', '12 months')",Climbing,2.064,C57BL6/J,12 months,4240962,Light,Female,day_three
"(4240962, 'Climbing', 'Light', '3 months')",Climbing,42.636,C57BL6/J,3 months,4240962,Light,Female,day_three
"(4240962, 'Climbing', 'Light', '7 months')",Climbing,46.78,C57BL6/J,7 months,4240962,Light,Female,day_three
"(4240962, 'distance (mm)', 'Dark', '12 months')",Distance,6421.995624,C57BL6/J,12 months,4240962,Dark,Female,day_three
"(4240962, 'distance (mm)', 'Dark', '3 months')",Distance,8140.167326,C57BL6/J,3 months,4240962,Dark,Female,day_three
"(4240962, 'distance (mm)', 'Dark', '7 months')",Distance,6741.507566,C57BL6/J,7 months,4240962,Dark,Female,day_three
"(4240962, 'distance (mm)', 'Light', '12 months')",Distance,2146.852135,C57BL6/J,12 months,4240962,Light,Female,day_three
"(4240962, 'distance (mm)', 'Light', '3 months')",Distance,3402.996363,C57BL6/J,3 months,4240962,Light,Female,day_three
"(4240962, 'distance (mm)', 'Light', '7 months')",Distance,4121.363514,C57BL6/J,7 months,4240962,Light,Female,day_three
"(4242121, 'Climbing', 'Dark', '12 months')",Climbing,43.67,C57BL6/J,12 months,4242121,Dark,Female,day_three
"(4242121, 'Climbing', 'Dark', '3 months')",Climbing,120.6523333,C57BL6/J,3 months,4242121,Dark,Female,day_three
"(4242121, 'Climbing', 'Dark', '7 months')",Climbing,93.792,C57BL6/J,7 months,4242121,Dark,Female,day_three
"(4242121, 'Climbing', 'Light', '12 months')",Climbing,0.984,C57BL6/J,12 months,4242121,Light,Female,day_three
"(4242121, 'Climbing', 'Light', '3 months')",Climbing,11.206,C57BL6/J,3 months,4242121,Light,Female,day_three
"(4242121, 'Climbing', 'Light', '7 months')",Climbing,6.168,C57BL6/J,7 months,4242121,Light,Female,day_three
"(4242121, 'distance (mm)', 'Dark', '12 months')",Distance,5265.778809,C57BL6/J,12 months,4242121,Dark,Female,day_three
"(4242121, 'distance (mm)', 'Dark', '3 months')",Distance,9066.652586,C57BL6/J,3 months,4242121,Dark,Female,day_three
"(4242121, 'distance (mm)', 'Dark', '7 months')",Distance,10846.43937,C57BL6/J,7 months,4242121,Dark,Female,day_three
"(4242121, 'distance (mm)', 'Light', '12 months')",Distance,1451.422322,C57BL6/J,12 months,4242121,Light,Female,day_three
"(4242121, 'distance (mm)', 'Light', '3 months')",Distance,2061.487744,C57BL6/J,3 months,4242121,Light,Female,day_three
"(4242121, 'distance (mm)', 'Light', '7 months')",Distance,1112.280773,C57BL6/J,7 months,4242121,Light,Female,day_three
"(4245170, 'Climbing', 'Dark', '12 months')",Climbing,46.04,C57BL6/J,12 months,4245170,Dark,Female,day_three
"(4245170, 'Climbing', 'Dark', '3 months')",Climbing,47.424,C57BL6/J,3 months,4245170,Dark,Female,day_three
"(4245170, 'Climbing', 'Dark', '7 months')",Climbing,37.882,C57BL6/J,7 months,4245170,Dark,Female,day_three
"(4245170, 'Climbing', 'Light', '12 months')",Climbing,17.748,C57BL6/J,12 months,4245170,Light,Female,day_three
"(4245170, 'Climbing', 'Light', '3 months')",Climbing,6.588,C57BL6/J,3 months,4245170,Light,Female,day_three
"(4245170, 'Climbing', 'Light', '7 months')",Climbing,13.908,C57BL6/J,7 months,4245170,Light,Female,day_three
"(4245170, 'distance (mm)', 'Dark', '12 months')",Distance,2098.109264,C57BL6/J,12 months,4245170,Dark,Female,day_three
"(4245170, 'distance (mm)', 'Dark', '3 months')",Distance,6253.677544,C57BL6/J,3 months,4245170,Dark,Female,day_three
"(4245170, 'distance (mm)', 'Dark', '7 months')",Distance,6131.69606,C57BL6/J,7 months,4245170,Dark,Female,day_three
"(4245170, 'distance (mm)', 'Light', '12 months')",Distance,1343.024031,C57BL6/J,12 months,4245170,Light,Female,day_three
"(4245170, 'distance (mm)', 'Light', '3 months')",Distance,1293.313056,C57BL6/J,3 months,4245170,Light,Female,day_three
"(4245170, 'distance (mm)', 'Light', '7 months')",Distance,5063.555078,C57BL6/J,7 months,4245170,Light,Female,day_three
"(4246248, 'Climbing', 'Dark', '12 months')",Climbing,104.92,C57BL6/J,12 months,4246248,Dark,Female,day_three
"(4246248, 'Climbing', 'Dark', '3 months')",Climbing,130.51,C57BL6/J,3 months,4246248,Dark,Female,day_three
"(4246248, 'Climbing', 'Dark', '7 months')",Climbing,170.4056667,C57BL6/J,7 months,4246248,Dark,Female,day_three
"(4246248, 'Climbing', 'Light', '12 months')",Climbing,19.416,C57BL6/J,12 months,4246248,Light,Female,day_three
"(4246248, 'Climbing', 'Light', '3 months')",Climbing,38.292,C57BL6/J,3 months,4246248,Light,Female,day_three
"(4246248, 'Climbing', 'Light', '7 months')",Climbing,35.738,C57BL6/J,7 months,4246248,Light,Female,day_three
"(4246248, 'distance (mm)', 'Dark', '12 months')",Distance,4916.270223,C57BL6/J,12 months,4246248,Dark,Female,day_three
"(4246248, 'distance (mm)', 'Dark', '3 months')",Distance,9274.621835,C57BL6/J,3 months,4246248,Dark,Female,day_three
"(4246248, 'distance (mm)', 'Dark', '7 months')",Distance,11132.36458,C57BL6/J,7 months,4246248,Dark,Female,day_three
"(4246248, 'distance (mm)', 'Light', '12 months')",Distance,4734.721758,C57BL6/J,12 months,4246248,Light,Female,day_three
"(4246248, 'distance (mm)', 'Light', '3 months')",Distance,2743.773388,C57BL6/J,3 months,4246248,Light,Female,day_three
"(4246248, 'distance (mm)', 'Light', '7 months')",Distance,4395.895474,C57BL6/J,7 months,4246248,Light,Female,day_three
"(4246781, 'Climbing', 'Dark', '12 months')",Climbing,26.85433333,C57BL6/J,12 months,4246781,Dark,Female,day_three
"(4246781, 'Climbing', 'Dark', '7 months')",Climbing,56.506,C57BL6/J,7 months,4246781,Dark,Female,day_three
"(4246781, 'Climbing', 'Light', '12 months')",Climbing,16.798,C57BL6/J,12 months,4246781,Light,Female,day_three
"(4246781, 'Climbing', 'Light', '7 months')",Climbing,30.78,C57BL6/J,7 months,4246781,Light,Female,day_three
"(4246781, 'distance (mm)', 'Dark', '12 months')",Distance,4975.678543,C57BL6/J,12 months,4246781,Dark,Female,day_three
"(4246781, 'distance (mm)', 'Dark', '7 months')",Distance,6387.886186,C57BL6/J,7 months,4246781,Dark,Female,day_three
"(4246781, 'distance (mm)', 'Light', '12 months')",Distance,4345.039279,C57BL6/J,12 months,4246781,Light,Female,day_three
"(4246781, 'distance (mm)', 'Light', '7 months')",Distance,8254.087699,C57BL6/J,7 months,4246781,Light,Female,day_three
"(4246787, 'Climbing', 'Dark', '3 months')",Climbing,101.1106667,C57BL6/J,3 months,4246787,Dark,Female,day_three
"(4246787, 'Climbing', 'Light', '3 months')",Climbing,18.848,C57BL6/J,3 months,4246787,Light,Female,day_three
"(4246787, 'distance (mm)', 'Dark', '3 months')",Distance,7749.276017,C57BL6/J,3 months,4246787,Dark,Female,day_three
"(4246787, 'distance (mm)', 'Light', '3 months')",Distance,3329.448697,C57BL6/J,3 months,4246787,Light,Female,day_three
